PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2022,W001,07-038Z,W001,67883-WS5-85,1,1,1.0,2022-06-22,2022-06-22,DAX_Archive.arc
2023,invalid,18-120A,Invalid,67387-VX9-85,16,16,16.0,2023-05-23,2023-05-24,DAX_Archive.arc
2022,W001,07-084X,W001,60599-UT3-100,1,1,1.0,2022-01-07,2022-01-07,DAX_Archive.arc
2022,invalid,08-107W,Invalid,50754-NL1-M,84,84,87.0,2022-03-09,2022-04-26,DAX_Archive.arc
2022,W001,07-069W,W001,67124-QR7-XXL,1,1,1.0,2022-01-12,2022-01-12,DAX_Archive.arc
2022,W001,07-038W,W001,67407-001-140,1,1,1.0,2022-05-29,2022-05-29,DAX_Archive.arc
2022,invalid,29-138X,Invalid,60611-VW4-130,23,23,24.0,2022-07-03,2022-07-05,DAX_Archive.arc
2023,invalid,17-137B,Invalid,67537-365-110,20,20,21.0,2023-05-02,2023-05-06,DAX_Archive.arc
2022,W001,07-140C,W001,52733-AN8-5,1,1,1.0,2022-02-15,2022-02-15,DAX_Archive.arc
2022,W001,07-042X,W001,67180-CM4-100,2,2,2.0,2022-01-24,2022-01-24,DAX_Archive.arc
2022,invalid,24-138B,Invalid,67356-WK7-120,1,1,1.0,2022-07-03,2022-07-03,DAX_Archive.arc
2022,W001,07-007Y,W001,67873-015-100,84,84,85.0,2022-06-01,2022-06-27,DAX_Archive.arc
2022,W001,07-020Z,W001,67852-WU4-120,1,1,1.0,2022-06-23,2022-06-23,DAX_Archive.arc
2022,invalid,08-045X,Invalid,67110-VN3-L,45,45,47.0,2022-01-14,2022-09-01,DAX_Archive.arc
2025,invalid,34-013Z,Invalid,82816-2RS-130,177,171,185.0,2025-01-24,2025-07-28,DAX_Archive.arc
2025,W001,07-011Z,W001,60310-FX9-S,4,4,4.0,2025-01-02,2025-01-10,DAX_Archive.arc
2022,invalid,07-008A,Invalid,50979-VP3-120,1,1,1.0,2022-02-27,2022-02-27,DAX_Archive.arc
2022,W001,07-074D,W001,50265-VK5-S,1,1,1.0,2022-01-18,2022-01-18,DAX_Archive.arc
2026,W001,07-068W,W001,82480-3AQ-XXS,15,15,15.0,2026-03-10,2026-05-22,DAX_Archive.arc
2022,W001,07-015Z,W001,67867-WX9-120,79,79,81.0,2022-05-24,2022-05-27,DAX_Archive.arc
2022,W001,07-014Z,W001,43205-015-80,1,1,1.0,2022-06-20,2022-06-20,DAX_Archive.arc
2022,W001,07-129W,W001,44403-TN7-XS,26,25,27.0,2022-01-13,2022-03-17,DAX_Archive.arc
2022,W001,07-039A,W001,67881-G31-120,1,1,1.0,2022-06-27,2022-06-27,DAX_Archive.arc
2022,W001,07-070A,W001,65203-VP1-XXL,4,4,4.0,2022-01-15,2022-02-08,DAX_Archive.arc
2024,W001,07-076D,W001,82585-3AV-70,1,1,2.0,2024-11-18,2024-11-18,DAX_Archive.arc
2022,invalid,07-019D,Invalid,33081-VF3-80,1,1,1.0,2022-02-01,2022-02-01,DAX_Archive.arc
2022,invalid,24-139W,Invalid,67707-SG7-150,20,20,20.0,2022-04-04,2022-04-29,DAX_Archive.arc
2023,invalid,17-128D,Invalid,68014-XE4-100,1,1,1.0,2023-01-27,2023-01-27,DAX_Archive.arc
2024,invalid,17-135X,Invalid,67387-76X-140,3,3,3.0,2024-01-08,2024-01-09,DAX_Archive.arc
2022,W001,07-069Z,W001,50282-VP5-M,1,1,1.0,2022-02-01,2022-02-01,DAX_Archive.arc
2022,invalid,07-008C,Invalid,67878-VU6-110,77,77,80.0,2022-07-06,2022-07-10,DAX_Archive.arc
2022,W001,07-026A,W001,67410-VV2-110,1,1,1.0,2022-07-23,2022-07-23,DAX_Archive.arc
2022,invalid,07-142A,Invalid,45346-NV2-100,1,1,1.0,2022-02-24,2022-02-24,DAX_Archive.arc
2023,invalid,18-120C,Invalid,59852-XV3-100,33,33,36.0,2023-12-09,2023-12-12,DAX_Archive.arc
2023,invalid,08-047Y,Invalid,52733-M23-5,1,1,1.0,2023-01-23,2023-01-23,DAX_Archive.arc
2026,W001,07-079A,W001,82486-3BH-100,1,1,1.0,2026-02-12,2026-02-12,DAX_Archive.arc
2025,W001,07-112H,W001,82586-145-70,7,6,9.0,2025-01-27,2025-09-30,DAX_Archive.arc
2022,W001,07-008X,W001,67063-UU9-150,1,1,1.0,2022-05-08,2022-05-08,DAX_Archive.arc
2022,W001,07-115D,W001,60325-VM2-XL,3,3,3.0,2022-01-10,2022-01-12,DAX_Archive.arc
2022,W001,07-062A,W001,65603-011-80,1,1,1.0,2022-01-12,2022-01-12,DAX_Archive.arc
2022,W001,07-139W,W001,67845-31A-130,1,1,1.0,2022-05-20,2022-05-20,DAX_Archive.arc
2023,invalid,16-127Y,Invalid,67419-490-140,78,78,81.0,2023-07-01,2023-07-10,DAX_Archive.arc
2022,W001,07-036A,W001,67692-62L-120,1,1,1.0,2022-06-16,2022-06-16,DAX_Archive.arc
2022,W001,07-076W,W001,66952-UT9-60,1,1,1.0,2022-01-27,2022-01-27,DAX_Archive.arc
2022,W001,07-143Z,W001,67255-Q84-XS,11,11,12.0,2022-01-22,2022-02-06,DAX_Archive.arc
2022,invalid,22-134D,Invalid,67436-WQ1-60,8,8,8.0,2022-03-30,2022-04-04,DAX_Archive.arc
2022,W001,07-111B,W001,57538-GD7-140,1,1,1.0,2022-01-12,2022-01-12,DAX_Archive.arc
2022,W001,07-050X,W001,66734-UX9-80,1,1,1.0,2022-02-11,2022-02-11,DAX_Archive.arc
2022,W001,07-096Z,W001,30070-GN1-L,1,1,1.0,2022-01-16,2022-01-16,DAX_Archive.arc
